"No.","Time","Source","Destination","Protocol","Length","Info"
"326","134.902004396","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=1974 Ack=5598 Win=63356 Len=0"
"327","134.948227141","10.0.2.15","157.240.221.60","TLSv1.2","128","Application Data"
"328","134.948900807","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=5598 Ack=2048 Win=65535 Len=0"
"329","135.055386817","157.240.221.60","10.0.2.15","TLSv1.2","446","Application Data"
"330","135.055435400","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=2048 Ack=5990 Win=63356 Len=0"
"331","135.341389826","10.0.2.15","157.240.221.60","TLSv1.2","145","Application Data"
"332","135.342322747","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=5990 Ack=2139 Win=65535 Len=0"
"333","135.737353999","10.0.2.15","157.240.221.60","TLSv1.2","157","Application Data"
"334","135.738444040","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=5990 Ack=2242 Win=65535 Len=0"
"335","136.069367353","157.240.221.60","10.0.2.15","TLSv1.2","144","Application Data"
"336","136.069481200","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=2242 Ack=6080 Win=63356 Len=0"
