"No.","Time","Source","Destination","Protocol","Length","Info"
"123","19.093936253","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"124","19.093936273","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"125","19.093936293","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"126","19.094031301","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"127","19.094031321","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"128","19.094031341","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"129","19.094031371","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"130","19.094031391","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"131","19.094132220","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"132","19.094132270","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"133","19.094132340","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"134","19.094296248","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"142","19.097487334","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"144","19.100493161","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"145","19.100493792","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"146","19.100493812","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"147","19.100493843","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"148","19.100493863","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"151","19.102615021","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"153","19.118899815","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"154","19.118900376","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"156","19.120112069","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"157","19.120215052","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"158","19.120287408","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"159","19.120287508","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"160","19.120287528","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"161","19.120383658","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"162","19.120383728","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"163","19.120383758","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"168","19.132755523","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"169","19.132756124","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"170","19.132756154","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"171","19.132756174","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"172","19.132756194","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"173","19.132921845","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"174","19.132921905","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"175","19.132921935","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"176","19.132921955","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"177","19.132921975","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"178","19.132979383","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"179","19.132979413","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"180","19.133047621","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"181","19.133047651","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"182","19.133047671","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"183","19.133129164","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"184","19.133129184","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"185","19.133173737","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"186","19.133203203","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"202","19.143665265","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"203","19.143666468","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"204","19.143666488","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"205","19.143666518","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"206","19.143801681","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"207","19.143801731","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"208","19.143801751","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"209","19.143801781","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"210","19.143801812","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"211","19.143801832","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"212","19.143801862","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"213","19.143890027","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"214","19.143890077","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"215","19.143890107","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"230","19.148084915","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"231","19.148085406","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"232","19.148085476","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"236","19.152751488","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"237","19.152752039","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"238","19.152752059","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"239","19.152752089","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"240","19.152752109","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"242","19.153045810","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"248","19.165949081","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"249","19.165950003","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"250","19.166189022","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"251","19.166189242","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"252","19.166189292","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"253","19.166189342","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"254","19.166189392","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"255","19.166189442","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"256","19.166189482","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"257","19.166284370","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"258","19.166284501","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"259","19.166355624","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"260","19.166355674","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"263","19.175961170","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"264","19.175961681","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"265","19.175961701","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"266","19.175961721","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"267","19.175961741","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"268","19.175961771","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"269","19.175961791","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"270","19.175961811","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"271","19.176046951","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"272","19.182450322","213.57.24.97","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"274","19.189253462","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"275","19.189254794","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"276","19.189929319","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"277","19.189929409","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"278","19.189929440","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"279","19.189929480","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"280","19.189929500","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"281","19.192989519","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"283","19.199710124","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"284","19.199710956","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"285","19.199710976","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"286","19.199873641","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"287","19.199873721","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"288","19.199873741","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"289","19.199873771","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"290","19.199873791","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"291","19.199944784","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"293","19.207088143","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"294","19.207088393","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"295","19.207163935","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"296","19.207163975","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"297","19.207163995","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"298","19.207164025","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"299","19.207224338","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"300","19.207224378","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"301","19.207224398","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"302","19.207283529","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"303","19.207283629","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"304","19.207328153","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"305","19.207328183","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"306","19.207363720","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"309","19.213664878","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"310","19.213943661","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
