"No.","Time","Source","Destination","Protocol","Length","Info"
"120","14.558164703","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"121","14.558313412","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"122","14.558313442","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"123","14.558313462","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"124","14.558313482","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"125","14.558313502","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"126","14.558313532","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"127","14.558383503","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"128","14.558383523","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"130","14.558383543","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"131","14.558451431","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"132","14.558451481","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"133","14.558451511","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"141","14.558850108","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"142","14.558904941","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"143","14.558905001","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"144","14.558905021","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"145","14.558957430","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"148","14.573548956","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"149","14.573549427","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"150","14.573727301","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"151","14.573727431","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"152","14.573727481","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"153","14.573727531","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"154","14.573727581","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"155","14.573862354","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"156","14.573862584","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"158","14.573975105","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"159","14.573975195","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"161","14.574070614","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"164","14.574265530","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"165","14.574355398","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"166","14.574432182","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"168","14.574432273","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"172","14.576154773","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"173","14.576218242","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"174","14.576218282","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"175","14.576317008","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"176","14.576317118","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"178","14.576365789","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"179","14.576365819","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"181","14.576400294","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"182","14.576828567","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"183","14.576829209","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"184","14.576829229","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"185","14.576829259","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"186","14.576950506","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"187","14.576950556","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"188","14.576950586","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"190","14.581258205","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"191","14.581466065","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"192","14.588840075","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"194","14.609149595","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"195","14.609707452","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"196","14.612179548","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"197","14.613009565","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"199","14.638274339","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"200","14.638274810","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"201","14.647411196","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"202","14.647411847","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"203","14.647411877","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"204","14.647548583","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"205","14.647548623","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"206","14.647548643","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"207","14.647548673","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"208","14.647592776","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"209","14.647592796","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"210","14.647646096","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"211","14.647646116","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"212","14.647646136","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"213","14.647685199","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"214","14.647718662","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"216","14.650004730","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"217","14.650005361","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"218","14.650005381","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"219","14.652309031","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"220","14.652309442","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"221","14.652309462","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"222","14.652423356","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"223","14.652423376","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"224","14.652423396","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"225","14.652482497","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"226","14.652539454","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"227","14.652579779","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"228","14.652603614","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"229","14.652780235","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"230","14.652781087","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"232","14.652781107","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"233","14.652926710","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"234","14.652926780","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"235","14.652926800","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"236","14.653111456","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"237","14.653111537","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"238","14.653172581","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"239","14.653216403","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"240","14.653216423","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"241","14.653250337","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"243","14.653328193","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"244","14.653328293","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"246","14.653466051","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"247","14.653508341","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"248","14.653543647","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"249","14.655309484","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"250","14.655309905","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"251","14.655309925","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"252","14.655309945","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"253","14.655309965","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"254","14.655395435","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"255","14.655395475","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"256","14.655395495","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"257","14.655450989","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"258","14.655451009","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"259","14.655486967","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"260","14.655487027","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"261","14.655525429","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"263","14.655624735","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"264","14.655624785","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"265","14.655665351","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"267","14.660647450","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"268","14.660648061","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"269","14.660648121","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"270","14.660796790","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"271","14.660796860","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"272","14.660796911","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"273","14.660865700","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"274","14.660975125","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"275","14.661174439","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"276","14.661174749","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"277","14.661174809","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"278","14.661305194","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"280","14.668158067","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"281","14.668158878","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"282","14.668158898","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"283","14.668158928","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"284","14.668158948","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"285","14.668158978","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"286","14.668159008","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"287","14.668159028","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"288","14.668281989","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"289","14.668282009","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"290","14.668282029","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"291","14.668282059","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"292","14.668282079","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"293","14.668282099","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"294","14.668282129","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"295","14.668282149","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"296","14.668355988","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"297","14.668356008","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"300","14.672020170","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"301","14.672021061","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"302","14.672021082","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"303","14.672021102","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"304","14.672021132","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"305","14.672021152","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"306","14.672021172","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"307","14.672021192","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"308","14.672156275","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
