"No.","Time","Source","Destination","Protocol","Length","Info"
"82","32.709770331","10.0.2.15","213.57.24.97","QUIC","123","Handshake, DCID=b3810008126f8a25"
"83","32.710424449","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"84","32.710424839","213.57.24.97","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"85","32.711061518","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"86","32.711347351","10.0.2.15","213.57.24.97","QUIC","76","Protected Payload (KP0), DCID=b3810008126f8a25"
"87","32.729513417","213.57.24.97","10.0.2.15","QUIC","81","Handshake, SCID=b3810008126f8a25"
"88","32.729513878","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"89","32.763874114","10.0.2.15","213.57.24.97","QUIC","77","Protected Payload (KP0), DCID=b3810008126f8a25"
"90","32.764280982","10.0.2.15","157.240.0.60","TLSv1.2","156","Application Data"
"91","32.764685706","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=3344 Ack=814 Win=65535 Len=0"
"92","32.848129449","157.240.0.60","10.0.2.15","TLSv1.2","1058","Application Data"
"93","32.848178318","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=814 Ack=4348 Win=62780 Len=0"
"94","32.927091157","157.240.0.60","10.0.2.15","TLSv1.2","143","Application Data"
"95","32.927126264","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=814 Ack=4437 Win=62780 Len=0"
"96","32.931977847","10.0.2.15","213.57.24.97","QUIC","71","Protected Payload (KP0), DCID=b3810008126f8a25"
"97","32.969647223","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"98","33.115801027","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"99","33.116131622","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"100","33.116594876","10.0.2.15","213.57.24.97","QUIC","80","Protected Payload (KP0), DCID=b3810008126f8a25"
"101","33.121099408","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"102","33.121099788","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"103","33.121179938","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"104","33.121180008","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"105","33.121246846","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"106","33.121285919","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"107","33.121310969","10.0.2.15","213.57.24.97","QUIC","76","Protected Payload (KP0), DCID=b3810008126f8a25"
"108","33.121331983","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
